,model,lr,batch_size,pooling_style,acc
0,fast_text,0.001,64,avg,0.5916666666666667
1,fast_text,0.001,64,max,0.375
2,fast_text,0.001,128,avg,0.5361111111111111
3,fast_text,0.001,128,max,0.2361111111111111
4,fast_text,0.0001,64,avg,0.18611111111111112
5,fast_text,0.0001,64,max,0.06388888888888888
6,fast_text,0.0001,128,avg,0.1388888888888889
7,fast_text,0.0001,128,max,0.06944444444444445
8,lstm,0.001,64,avg,0.5611111111111111
9,lstm,0.001,64,max,0.5805555555555556
10,lstm,0.001,128,avg,0.5388888888888889
11,lstm,0.001,128,max,0.5555555555555556
12,lstm,0.0001,64,avg,0.37777777777777777
13,lstm,0.0001,64,max,0.30277777777777776
14,lstm,0.0001,128,avg,0.24166666666666667
15,lstm,0.0001,128,max,0.18055555555555555
16,gru,0.001,64,avg,0.5861111111111111
17,gru,0.001,64,max,0.6222222222222222
18,gru,0.001,128,avg,0.5916666666666667
19,gru,0.001,128,max,0.6138888888888889
20,gru,0.0001,64,avg,0.38055555555555554
21,gru,0.0001,64,max,0.37777777777777777
22,gru,0.0001,128,avg,0.23333333333333334
23,gru,0.0001,128,max,0.28055555555555556
24,rnn,0.001,64,avg,0.4888888888888889
25,rnn,0.001,64,max,0.5944444444444444
26,rnn,0.001,128,avg,0.4861111111111111
27,rnn,0.001,128,max,0.5916666666666667
28,rnn,0.0001,64,avg,0.275
29,rnn,0.0001,64,max,0.34444444444444444
30,rnn,0.0001,128,avg,0.2222222222222222
31,rnn,0.0001,128,max,0.25833333333333336
32,cnn,0.001,64,avg,0.6027777777777777
33,cnn,0.001,64,max,0.6666666666666666
34,cnn,0.001,128,avg,0.5666666666666667
35,cnn,0.001,128,max,0.6722222222222223
36,cnn,0.0001,64,avg,0.375
37,cnn,0.0001,64,max,0.42777777777777776
38,cnn,0.0001,128,avg,0.36666666666666664
39,cnn,0.0001,128,max,0.33055555555555555
40,gated_cnn,0.001,64,avg,0.6611111111111111
41,gated_cnn,0.001,64,max,0.6833333333333333
42,gated_cnn,0.001,128,avg,0.6527777777777778
43,gated_cnn,0.001,128,max,0.675
44,gated_cnn,0.0001,64,avg,0.36666666666666664
45,gated_cnn,0.0001,64,max,0.425
46,gated_cnn,0.0001,128,avg,0.3527777777777778
47,gated_cnn,0.0001,128,max,0.38055555555555554
48,stack_gated_cnn,0.001,64,avg,0.6694444444444444
49,stack_gated_cnn,0.001,64,max,0.6694444444444444
50,stack_gated_cnn,0.001,128,avg,0.6527777777777778
51,stack_gated_cnn,0.001,128,max,0.65
52,stack_gated_cnn,0.0001,64,avg,0.43333333333333335
53,stack_gated_cnn,0.0001,64,max,0.4722222222222222
54,stack_gated_cnn,0.0001,128,avg,0.4111111111111111
55,stack_gated_cnn,0.0001,128,max,0.375
56,rcnn,0.001,64,avg,0.5972222222222222
57,rcnn,0.001,64,max,0.6416666666666667
58,rcnn,0.001,128,avg,0.5222222222222223
59,rcnn,0.001,128,max,0.6361111111111111
60,rcnn,0.0001,64,avg,0.3333333333333333
61,rcnn,0.0001,64,max,0.34444444444444444
62,rcnn,0.0001,128,avg,0.22777777777777777
63,rcnn,0.0001,128,max,0.2638888888888889
64,bert,0.001,64,avg,0.7138888888888889
65,bert,0.001,64,max,0.7416666666666667
66,bert,0.001,128,avg,0.6972222222222222
67,bert,0.001,128,max,0.7361111111111112
68,bert,0.0001,64,avg,0.6888888888888889
69,bert,0.0001,64,max,0.7305555555555555
70,bert,0.0001,128,avg,0.7083333333333334
71,bert,0.0001,128,max,0.7166666666666667
72,bert_lstm,0.001,64,avg,0.6694444444444444
73,bert_lstm,0.001,64,max,0.6777777777777778
74,bert_lstm,0.001,128,avg,0.6944444444444444
75,bert_lstm,0.001,128,max,0.6277777777777778
76,bert_lstm,0.0001,64,avg,0.6611111111111111
77,bert_lstm,0.0001,64,max,0.7138888888888889
78,bert_lstm,0.0001,128,avg,0.6861111111111111
79,bert_lstm,0.0001,128,max,0.6972222222222222
80,bert_cnn,0.001,64,avg,0.6388888888888888
81,bert_cnn,0.001,64,max,0.7138888888888889
82,bert_cnn,0.001,128,avg,0.6027777777777777
83,bert_cnn,0.001,128,max,0.7416666666666667
84,bert_cnn,0.0001,64,avg,0.6722222222222223
85,bert_cnn,0.0001,64,max,0.7138888888888889
86,bert_cnn,0.0001,128,avg,0.6583333333333333
87,bert_cnn,0.0001,128,max,0.7083333333333334
88,bert_mid_layer,0.001,64,avg,0.6638888888888889
89,bert_mid_layer,0.001,64,max,0.7083333333333334
90,bert_mid_layer,0.001,128,avg,0.6833333333333333
91,bert_mid_layer,0.001,128,max,0.7055555555555556
92,bert_mid_layer,0.0001,64,avg,0.675
93,bert_mid_layer,0.0001,64,max,0.7083333333333334
94,bert_mid_layer,0.0001,128,avg,0.675
95,bert_mid_layer,0.0001,128,max,0.6888888888888889
